600199 金种子酒 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007-01-11,1.62,1.66,1.56,1.59,6330848,26584134.000
2007-01-12,1.58,1.69,1.56,1.62,8520551,36230836.000
2007-01-15,1.62,1.72,1.62,1.72,5369877,23633264.000
2007-01-16,1.81,1.83,1.77,1.83,9452336,43656580.000
2007-01-17,1.88,1.94,1.85,1.94,10733647,51759000.000
2007-01-18,2.00,2.06,1.96,2.06,8079565,41108632.000
2007-01-19,2.10,2.19,2.08,2.19,3335746,17826560.000
2007-01-22,2.33,2.33,2.33,2.33,522387,2946263.000
2007-01-23,2.47,2.47,2.19,2.21,24294195,136219680.000
2007-01-24,2.18,2.24,2.09,2.10,13764912,72145128.000
2007-01-25,2.06,2.06,1.97,1.97,12758006,63426508.000
2007-01-26,1.85,2.01,1.85,1.98,13535855,64705720.000
2007-01-29,1.96,2.04,1.92,2.00,9718071,48096644.000
2007-01-30,2.00,2.04,1.91,1.91,8241563,40552888.000
2007-01-31,1.90,2.01,1.85,1.89,8863161,42914440.000
2007-02-01,1.86,1.91,1.77,1.87,6786586,31747108.000
2007-02-02,1.88,1.88,1.74,1.75,5375518,24696352.000
2007-02-05,1.73,1.79,1.64,1.78,7247098,31718180.000
2007-02-06,1.83,1.88,1.78,1.88,6036526,28091696.000
2007-02-07,1.89,1.97,1.86,1.88,6220151,29846396.000
2007-02-08,1.88,1.91,1.84,1.89,3734920,17690060.000
2007-02-09,1.90,1.91,1.85,1.87,3381901,15976376.000
2007-02-12,1.88,1.99,1.86,1.99,6050132,29280028.000
2007-02-13,2.00,2.10,2.00,2.07,7162740,36490728.000
2007-02-14,2.09,2.11,2.03,2.08,6729447,34509920.000
2007-02-15,2.11,2.20,2.08,2.16,7044309,37175504.000
2007-02-16,2.17,2.18,2.10,2.11,8307917,43596028.000
2007-02-26,2.12,2.23,2.12,2.23,7540609,40336460.000
2007-02-27,2.27,2.37,2.10,2.10,12225965,66702776.000
2007-02-28,2.00,2.20,1.98,2.17,10013141,51534368.000
2007-03-01,2.18,2.18,2.04,2.05,8977906,46058204.000
2007-03-02,2.04,2.12,2.02,2.06,5105459,26173304.000
2007-03-05,2.04,2.10,1.95,2.01,6204946,31147724.000
2007-03-06,1.99,2.07,1.95,2.06,4643520,23545448.000
2007-03-07,2.12,2.19,2.12,2.14,8032392,42374536.000
